scenario,score,joint_accuracy,building_accuracy,floor_accuracy,eval_loss,model,train_regime,coordinate_mean_euclidean,coordinate_rmse,coordinate_mean_euclidean_m,coordinate_rmse_m
dropout_0.35,0.7407740774077408,0.7407740774077408,0.9864986538887024,0.7443744540214539,1.2332518660839777,mlp_multitask,clean_train,,,,
dropout_0.40,0.7056705670567057,0.7056705670567057,0.9783978462219238,0.713771402835846,1.3912374853122138,mlp_multitask,clean_train,,,,
dropout_0.45,0.6786678667866787,0.6786678667866787,0.958595871925354,0.6957696080207825,1.5480162254547236,mlp_multitask,clean_train,,,,
dropout_0.50,0.6453645364536453,0.6453645364536453,0.9522952437400818,0.662466287612915,1.690189506640636,mlp_multitask,clean_train,,,,
dropout_0.60,0.5463546354635463,0.5463546354635463,0.9180918335914612,0.567956805229187,2.145398457237024,mlp_multitask,clean_train,,,,
drop0.25_bias3_noise1,0.8181818181818182,0.8181818181818182,0.9918991923332214,0.8199819922447205,0.9397161268737271,mlp_multitask,clean_train,,,,
drop0.35_bias4_noise2,0.7434743474347435,0.7434743474347435,0.9873987436294556,0.7461746335029602,1.3241459633937083,mlp_multitask,clean_train,,,,
drop0.40_bias5_noise3,0.7110711071107111,0.7110711071107111,0.9810981154441833,0.7164716720581055,1.4345782566027636,mlp_multitask,clean_train,,,,
drop0.15_bias6_noise0,0.8667866786678667,0.8667866786678667,0.9981998205184937,0.8667867183685303,0.7589580600160827,mlp_multitask,clean_train,,,,
bias5_only,0.900990099009901,0.900990099009901,0.9981998205184937,0.9009901285171509,0.6180041389729288,mlp_multitask,clean_train,,,,
noise3_only,0.9018901890189019,0.9018901890189019,0.9981998205184937,0.901890218257904,0.6221167672120377,mlp_multitask,clean_train,,,,
clean,-9.660045279717732,,,,0.010854264256451363,mlp_coordinate,clean_train,0.10894536663777508,0.14733814479870855,9.660045279717732,13.064997079266083
dropout_0.05,-10.158927154196963,,,,0.011819710298235973,mlp_coordinate,clean_train,0.11461815982013837,0.15375116309842146,10.158927154196963,13.65635445095913
