scenario,model,score_clean_train,score_aug_train,delta_score
dropout_0.35,lstm_multitask,0.7893789378937894,0.8757875787578758,0.0864086408640864
dropout_0.40,lstm_multitask,0.7398739873987399,0.8667866786678667,0.12691269126912685
dropout_0.45,lstm_multitask,0.7371737173717372,0.8586858685868587,0.12151215121512149
dropout_0.50,lstm_multitask,0.6975697569756976,0.8343834383438344,0.13681368136813687
dropout_0.60,lstm_multitask,0.6363636363636364,0.7551755175517552,0.1188118811881188
drop0.25_bias3_noise1,lstm_multitask,0.8415841584158416,0.9108910891089109,0.06930693069306937
drop0.35_bias4_noise2,lstm_multitask,0.8064806480648065,0.8928892889288929,0.0864086408640864
drop0.40_bias5_noise3,lstm_multitask,0.7371737173717372,0.8667866786678667,0.12961296129612954
drop0.15_bias6_noise0,lstm_multitask,0.9018901890189019,0.9324932493249325,0.03060306030603055
bias5_only,lstm_multitask,0.9513951395139514,0.9486948694869487,-0.0027002700270026825
noise3_only,lstm_multitask,0.9540954095409541,0.946894689468947,-0.007200720072007116
clean,lstm_coordinate,-11.72945716917283,-10.509267560772503,1.220189608400327
dropout_0.05,lstm_coordinate,-12.656242509493712,-10.667567141530805,1.988675367962907
dropout_0.10,lstm_coordinate,-13.674106106432909,-10.706287088723734,2.967819017709175
dropout_0.15,lstm_coordinate,-14.802534549236789,-11.109539728043687,3.6929948211931016
dropout_0.20,lstm_coordinate,-15.765388811939246,-11.279036801957142,4.486352009982104
dropout_0.25,lstm_coordinate,-16.673035511008475,-11.41405132326166,5.258984187746815
dropout_0.30,lstm_coordinate,-17.598851475663285,-11.69256319139406,5.906288284269225
dropout_0.35,lstm_coordinate,-19.58950018065248,-12.910252957850071,6.679247222802408
dropout_0.40,lstm_coordinate,-21.93997353490228,-12.919232948747423,9.020740586154856
dropout_0.45,lstm_coordinate,-23.811865647981257,-14.041471867192113,9.770393780789144
dropout_0.50,lstm_coordinate,-26.27686401350583,-15.06711798237804,11.20974603112779
dropout_0.60,lstm_coordinate,-30.22822801706421,-16.523770337590705,13.704457679473506
drop0.25_bias3_noise1,lstm_coordinate,-16.31329388674169,-11.428489517992157,4.884804368749533
drop0.35_bias4_noise2,lstm_coordinate,-18.884920297362466,-12.771817793561214,6.113102503801253
drop0.40_bias5_noise3,lstm_coordinate,-20.619098427081397,-13.399100057219403,7.219998369861994
drop0.15_bias6_noise0,lstm_coordinate,-13.903762755327731,-11.401491614175002,2.502271141152729
bias5_only,lstm_coordinate,-11.883251855056097,-10.973863560902355,0.9093882941537412
noise3_only,lstm_coordinate,-11.910204458561319,-10.807835377489235,1.1023690810720836
