regime,scenario,model_label,model_family,model,task,metric,metric_value,source_file
aug_train,drop0.35_bias4_noise2,Set Transformer,set_transformer,set_transformer_joint,joint,joint_accuracy,0.8982898592948914,results_aug.csv|table_robustness_stability_long.csv
aug_train,drop0.35_bias4_noise2,Standard Transformer,transformer,transformer_joint,joint,joint_accuracy,0.8991899490356445,results_aug.csv|table_robustness_stability_long.csv
aug_train,drop0.40_bias5_noise3,CNN,cnn,cnn_joint,joint,joint_accuracy,0.5634563565254211,results_aug.csv|table_robustness_stability_long.csv
aug_train,drop0.40_bias5_noise3,LSTM,lstm,lstm_joint,joint,joint_accuracy,0.8955895900726318,results_aug.csv|table_robustness_stability_long.csv
aug_train,drop0.40_bias5_noise3,MLP,mlp,mlp_joint,joint,joint_accuracy,0.8523852825164795,results_aug.csv|table_robustness_stability_long.csv
aug_train,drop0.40_bias5_noise3,Set Transformer,set_transformer,set_transformer_joint,joint,joint_accuracy,0.8721872568130493,results_aug.csv|table_robustness_stability_long.csv
aug_train,drop0.40_bias5_noise3,Standard Transformer,transformer,transformer_joint,joint,joint_accuracy,0.8739874362945557,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.05,CNN,cnn,cnn_joint,joint,joint_accuracy,0.8316832184791565,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.05,LSTM,lstm,lstm_joint,joint,joint_accuracy,0.9558956027030944,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.05,MLP,mlp,mlp_joint,joint,joint_accuracy,0.9162916541099548,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.05,Set Transformer,set_transformer,set_transformer_joint,joint,joint_accuracy,0.9468947052955629,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.05,Standard Transformer,transformer,transformer_joint,joint,joint_accuracy,0.9423942565917968,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.10,CNN,cnn,cnn_joint,joint,joint_accuracy,0.8118811845779419,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.10,LSTM,lstm,lstm_joint,joint,joint_accuracy,0.9486948847770692,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.10,MLP,mlp,mlp_joint,joint,joint_accuracy,0.9099910259246826,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.10,Set Transformer,set_transformer,set_transformer_joint,joint,joint_accuracy,0.9369937181472778,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.10,Standard Transformer,transformer,transformer_joint,joint,joint_accuracy,0.9360936284065248,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.15,CNN,cnn,cnn_joint,joint,joint_accuracy,0.7560756206512451,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.15,LSTM,lstm,lstm_joint,joint,joint_accuracy,0.9486948847770692,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.15,MLP,mlp,mlp_joint,joint,joint_accuracy,0.9045904874801636,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.15,Set Transformer,set_transformer,set_transformer_joint,joint,joint_accuracy,0.9252925515174866,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.15,Standard Transformer,transformer,transformer_joint,joint,joint_accuracy,0.927992820739746,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.20,CNN,cnn,cnn_joint,joint,joint_accuracy,0.7389739155769348,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.20,LSTM,lstm,lstm_joint,joint,joint_accuracy,0.9414941668510436,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.20,MLP,mlp,mlp_joint,joint,joint_accuracy,0.8937894105911255,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.20,Set Transformer,set_transformer,set_transformer_joint,joint,joint_accuracy,0.9261926412582396,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.20,Standard Transformer,transformer,transformer_joint,joint,joint_accuracy,0.9297930002212524,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.25,CNN,cnn,cnn_joint,joint,joint_accuracy,0.7200720310211182,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.25,LSTM,lstm,lstm_joint,joint,joint_accuracy,0.9396939873695374,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.25,MLP,mlp,mlp_joint,joint,joint_accuracy,0.881188154220581,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.25,Set Transformer,set_transformer,set_transformer_joint,joint,joint_accuracy,0.911791205406189,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.25,Standard Transformer,transformer,transformer_joint,joint,joint_accuracy,0.9198920130729676,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.30,CNN,cnn,cnn_joint,joint,joint_accuracy,0.6813681721687317,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.30,LSTM,lstm,lstm_joint,joint,joint_accuracy,0.9306930899620056,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.30,MLP,mlp,mlp_joint,joint,joint_accuracy,0.8748875260353088,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.30,Set Transformer,set_transformer,set_transformer_joint,joint,joint_accuracy,0.9162916541099548,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.30,Standard Transformer,transformer,transformer_joint,joint,joint_accuracy,0.912691295146942,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.35,CNN,cnn,cnn_joint,joint,joint_accuracy,0.6210620999336243,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.35,LSTM,lstm,lstm_joint,joint,joint_accuracy,0.9099910259246826,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.35,MLP,mlp,mlp_joint,joint,joint_accuracy,0.855085551738739,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.35,Set Transformer,set_transformer,set_transformer_joint,joint,joint_accuracy,0.8847885131835938,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.35,Standard Transformer,transformer,transformer_joint,joint,joint_accuracy,0.8919892311096191,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.40,CNN,cnn,cnn_joint,joint,joint_accuracy,0.5742574334144592,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.40,LSTM,lstm,lstm_joint,joint,joint_accuracy,0.8919892311096191,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.40,MLP,mlp,mlp_joint,joint,joint_accuracy,0.8478848338127136,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.40,Set Transformer,set_transformer,set_transformer_joint,joint,joint_accuracy,0.8766877055168152,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.40,Standard Transformer,transformer,transformer_joint,joint,joint_accuracy,0.8874887824058533,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.45,CNN,cnn,cnn_joint,joint,joint_accuracy,0.5067507028579712,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.45,LSTM,lstm,lstm_joint,joint,joint_accuracy,0.8784878849983215,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.45,MLP,mlp,mlp_joint,joint,joint_accuracy,0.8217821717262268,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.45,Set Transformer,set_transformer,set_transformer_joint,joint,joint_accuracy,0.8559856414794922,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.45,Standard Transformer,transformer,transformer_joint,joint,joint_accuracy,0.8748875260353088,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.50,CNN,cnn,cnn_joint,joint,joint_accuracy,0.466246634721756,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.50,LSTM,lstm,lstm_joint,joint,joint_accuracy,0.8640864491462708,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.50,MLP,mlp,mlp_joint,joint,joint_accuracy,0.7992799282073975,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.50,Set Transformer,set_transformer,set_transformer_joint,joint,joint_accuracy,0.8469847440719604,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.50,Standard Transformer,transformer,transformer_joint,joint,joint_accuracy,0.8505851030349731,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.60,CNN,cnn,cnn_joint,joint,joint_accuracy,0.369937002658844,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.60,LSTM,lstm,lstm_joint,joint,joint_accuracy,0.7929793000221252,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.60,MLP,mlp,mlp_joint,joint,joint_accuracy,0.7317731976509094,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.60,Set Transformer,set_transformer,set_transformer_joint,joint,joint_accuracy,0.7668766975402832,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.60,Standard Transformer,transformer,transformer_joint,joint,joint_accuracy,0.7857785820960999,results_aug.csv|table_robustness_stability_long.csv
aug_train,noise3_only,CNN,cnn,cnn_joint,joint,joint_accuracy,0.8316832184791565,results_aug.csv|table_robustness_stability_long.csv
aug_train,noise3_only,LSTM,lstm,lstm_joint,joint,joint_accuracy,0.9513951539993286,results_aug.csv|table_robustness_stability_long.csv
